"Language","original","english","spanish","german","russian","chinesesimp"
"STR_LFPG_ACTION_CYCLE_CAMERA","Cycle Camera","Cycle Camera","Cambiar Camara","Cycle Camera","Cycle Camera","切换摄像头"
"STR_LFPG_ACTION_UNLINK_CAMERA","Unlink Camera","Unlink Camera","Desvincular Camara","Unlink Camera","Unlink Camera","取消关联摄像头"
"STR_LFPG_ACTION_VIEW_CAMERA","View Camera","View Camera","Ver Cámara","View Camera","View Camera","查看摄像头"
"STR_LFPG_PUMP_KIT","Water Pump Kit","Water Pump Kit","Kit de Bomba de Agua","Wasserpumpe-Kit","Набор водяного насоса","水泵套件"
"STR_LFPG_PUMP_KIT_DESC","Kit to deploy a water pump.","Kit to deploy a water pump.","Kit para instalar una bomba de agua.","Kit to deploy a water pump.","Kit to deploy a water pump.","用于部署水泵的套件。"
"STR_LFPG_PUMP_T1","Water Pump","Water Pump","Bomba de Agua","Wasserpumpe","Водяной насос","水泵"
"STR_LFPG_PUMP_T1_DESC","Electric water pump. 50 u/s. Upgradeable.","Electric water pump. 50 u/s. Upgradeable.","Bomba de agua eléctrica. 50 u/s. Mejorable.","Electric water pump. 50 u/s. Upgradeable.","Electric water pump. 50 u/s. Upgradeable.","电动水泵。50 u/s。可升级。"
"STR_LFPG_PUMP_T2","Water Pump (Upgraded)","Water Pump (Upgraded)","Bomba de Agua (Mejorada)","Wasserpumpe (Aufgerüstet)","Водяной насос (Улучшенный)","水泵（已升级）"
"STR_LFPG_PUMP_T2_DESC","Electric water pump with 50L tank. 50 u/s.","Electric water pump with 50L tank. 50 u/s.","Bomba de agua eléctrica con depósito de 50L. 50 u/s.","Electric water pump with 50L tank. 50 u/s.","Electric water pump with 50L tank. 50 u/s.","带 50L 水箱的电动水泵。50 u/s。"
"STR_LFPG_ACTION_UPGRADE_PUMP","Upgrade Water Pump","Upgrade Water Pump","Mejorar Bomba de Agua","Upgrade Water Pump","Upgrade Water Pump","升级水泵"
"STR_LFPG_ACTION_DRINK_PUMP","Drink","Drink","Beber","Trinken","Пить","喝水"
"STR_LFPG_ACTION_FILL_PUMP","Fill","Fill","Llenar","Füllen","Наполнить","灌水"
"STR_LFPG_ACTION_WASH_PUMP","Wash Hands","Wash Hands","Lavar Manos","Hände waschen","Помыть руки","洗手"
"STR_LFPG_FURNACE_KIT","Furnace Kit","Furnace Kit","Kit de Horno","Ofen-Kit","Набор печи","焚化炉套件"
"STR_LFPG_FURNACE_KIT_DESC","Kit to deploy an incinerator furnace.","Kit to deploy an incinerator furnace.","Kit para instalar un horno incinerador.","Kit zum Aufstellen eines Verbrennungsofens.","Набор для установки печи-инсинератора.","用于部署焚化炉的套件。"
"STR_LFPG_FURNACE","Incinerator Furnace","Incinerator Furnace","Horno Incinerador","Verbrennungsofen","Печь-инсинератор","焚化炉"
"STR_LFPG_FURNACE_DESC","Burns items to generate 50 u/s of power.","Burns items to generate 50 u/s of power.","Quema objetos para generar 50 u/s de energía.","Verbrennt Gegenstände um 50 u/s Strom zu erzeugen.","Сжигает предметы для генерации 50 ед/с энергии.","燃烧物品产生 50 u/s 电力。"
"STR_LFPG_ACTION_FEED_FURNACE","Feed Furnace","Feed Furnace","Alimentar Horno","Ofen befüllen","Загрузить печь","投料焚化炉"
"STR_LFPG_ACTION_TOGGLE_FURNACE","Toggle Furnace","Toggle Furnace","Encender/Apagar Horno","Ofen umschalten","Переключить печь","切换焚化炉"
"STR_LFPG_ACTION_FURNACE_ON","Turn On Furnace","Turn On Furnace","Encender Horno","Ofen einschalten","Включить печь","开启焚化炉"
"STR_LFPG_ACTION_FURNACE_OFF","Turn Off Furnace","Turn Off Furnace","Apagar Horno","Ofen ausschalten","Выключить печь","关闭焚化炉"
"STR_LFPG_ACTION_BURN_ITEM_NO_FUEL","Burn Item (no fuel)","Burn Item (no fuel)","Quemar Item (sin combustible)","Gegenstand verbrennen (kein Brennstoff)","Сжечь предмет (без топлива)","燃烧物品（无燃料）"
"STR_LFPG_SorterKit","Sorter Kit","Sorter Kit","Kit Clasificador","Sortierer-Kit","Набор сортировщика","分拣器套件"
"STR_LFPG_SorterKit_Desc","An automated item sorter. Place near a container to link.","An automated item sorter. Place near a container to link.","Un clasificador automatico de items. Colocar cerca de un contenedor.","Ein automatischer Gegenstandssortierer. In der Naehe eines Behaelters platzieren.","Автоматический сортировщик предметов. Размещайте рядом с контейнером.","自动物品分拣器。放置在容器附近以关联。"
"STR_LFPG_Sorter","Power Sorter","Power Sorter","Clasificador Electrico","Stromsortierer","Электросортировщик","电力分拣器"
"STR_LFPG_Sorter_Desc","Sorts items from its linked container to downstream containers based on filter rules. Requires power.","Sorts items from its linked container to downstream containers based on filter rules. Requires power.","Clasifica items del contenedor vinculado a contenedores conectados segun reglas de filtro. Requiere electricidad.","Sortiert Gegenstaende aus dem verknuepften Behaelter in nachgeschaltete Behaelter basierend auf Filterregeln. Benoetigt Strom.","Сортирует предметы из связанного контейнера в подключённые контейнеры по правилам фильтрации. Требуется питание.","根据过滤规则将关联容器中的物品分拣到下游容器。需要供电。"
"STR_LFPG_ACTION_OPEN_SORTER","Open Sorter Panel","Open Sorter Panel","Abrir Panel del Clasificador","Sortierer-Panel oeffnen","Открыть панель сортировщика","打开分拣器面板"
"STR_LFPG_SearchlightKit","Searchlight Kit","Searchlight Kit","Kit de Reflector","Suchscheinwerfer-Kit","Набор прожектора","探照灯套件"
"STR_LFPG_SearchlightKit_Desc","A powerful directional searchlight. Place to deploy.","A powerful directional searchlight. Place to deploy.","Un potente reflector direccional. Colocar para desplegar.","Ein leistungsstarker Suchscheinwerfer. Platzieren zum Aufstellen.","Мощный направленный прожектор. Установите для развертывания.","强力定向探照灯。放置以部署。"
"STR_LFPG_Searchlight","Power Searchlight","Power Searchlight","Reflector Electrico","Stromscheinwerfer","Электропрожектор","电力探照灯"
"STR_LFPG_Searchlight_Desc","A tripod-mounted searchlight. Requires 25 u/s of power.","A tripod-mounted searchlight. Requires 25 u/s of power.","Reflector montado en tripode. Requiere 25 u/s de energia.","Ein auf einem Stativ montierter Suchscheinwerfer. Benoetigt 25 u/s Strom.","Прожектор на треноге. Требуется 25 ед/с энергии.","三脚架式探照灯。需要 25 u/s 电力。"
"STR_LFPG_ACTION_OPERATE_SEARCHLIGHT","Operate Searchlight","Operate Searchlight","Operar Reflector","Scheinwerfer bedienen","Управлять прожектором","操作探照灯"
"STR_LFPG_ACTION_PLACE_SEARCHLIGHT","Place Searchlight","Place Searchlight","Colocar Reflector","Scheinwerfer platzieren","Установить прожектор","放置探照灯"
"STR_LFPG_ACTION_RELEASE_SEARCHLIGHT","Release Searchlight","Release Searchlight","Soltar Reflector","Scheinwerfer loslassen","Отпустить прожектор","松开探照灯"
"STR_LFPG_MotionSensorKit","Motion Sensor Kit","Motion Sensor Kit","Kit Sensor de Movimiento","Bewegungssensor-Kit","Комплект датчика движения","运动传感器套件"
"STR_LFPG_MotionSensorKit_Desc","A motion sensor module. Place to deploy.","A motion sensor module. Place to deploy.","Modulo sensor de movimiento. Coloca para desplegar.","Ein Bewegungssensormodul. Zum Aufstellen platzieren.","Модуль датчика движения. Установите для развертывания.","运动传感器模块。放置以部署。"
"STR_LFPG_MotionSensor","Motion Sensor","Motion Sensor","Sensor de Movimiento","Bewegungssensor","Датчик движения","运动传感器"
"STR_LFPG_MotionSensor_Desc","Detects nearby players and allows power through. Requires 5 u/s.","Detects nearby players and allows power through. Requires 5 u/s.","Detecta jugadores cercanos y permite el paso de corriente. Requiere 5 u/s.","Erkennt Spieler in der Naehe und laesst Strom durch. Benoetigt 5 u/s.","Обнаруживает ближайших игроков и пропускает ток. Требуется 5 ед/с.","检测附近玩家并通电。需要 5 u/s。"
"STR_LFPG_ACTION_CYCLE_DETECT_MODE","Cycle Detect Mode","Cycle Detect Mode","Cambiar Modo Deteccion","Erkennungsmodus wechseln","Сменить режим обнаружения","切换检测模式"
"STR_LFPG_ACTION_PAIR_SENSOR","Pair Sensor","Pair Sensor","Emparejar Sensor","Sensor koppeln","Сопрячь датчик","配对传感器"
"STR_LFPG_SWITCHV2_KIT","Switch V2 Kit","Switch V2 Kit","Kit Interruptor V2","Schalter V2 Kit","Комплект переключателя V2","V2 开关套件"
"STR_LFPG_SWITCHV2_KIT_DESC","A latching lever switch. Place to deploy.","A latching lever switch. Place to deploy.","Un interruptor de palanca. Coloca para desplegar.","Ein Hebelschalter. Platzieren zum Aufstellen.","Рычажный переключатель. Разместите для установки.","锁定式拨杆开关。放置以部署。"
"STR_LFPG_SWITCHV2","Lever Switch","Lever Switch","Interruptor de Palanca","Hebelschalter","Рычажный переключатель","拨杆开关"
"STR_LFPG_SWITCHV2_DESC","A latching toggle switch with LED status indicator.","A latching toggle switch with LED status indicator.","Un interruptor de palanca con indicador LED.","Ein Kippschalter mit LED-Statusanzeige.","Переключатель с LED-индикатором.","带 LED 状态指示灯的锁定式开关。"
"STR_LFPG_ACTION_TOGGLE_SWITCH","Toggle switch","Toggle switch","Accionar interruptor","Schalter umschalten","Переключить","切换开关"
"STR_LFPG_ACTION_PRESS_BUTTON","Press button","Press button","Pulsar boton","Taste drücken","Нажать кнопку","按下按钮"
"STR_LFPG_ACTION_SYNC_SORTER","Sync Container","Sync container","Sincronizar contenedor","Sync Container","Синх. контейнер","同步容器"
"STR_LFPG_AND_Gate_Kit","AND Gate Kit","AND Gate Kit","Kit Puerta AND","AND-Gatter Kit","Комплект AND-вентиля","AND 门套件"
"STR_LFPG_AND_Gate_Kit_Desc","A logic gate. Output active when BOTH inputs receive power.","A logic gate. Output active when BOTH inputs receive power.","Puerta lógica. Salida activa cuando AMBAS entradas reciben energía.","Ein Logik-Gatter. Ausgang aktiv wenn BEIDE Eingänge Strom erhalten.","Логический вентиль. Выход активен при питании ОБОИХ входов.","逻辑门。两路输入均通电时输出激活。"
"STR_LFPG_OR_Gate_Kit","OR Gate Kit","OR Gate Kit","Kit Puerta OR","OR-Gatter Kit","Комплект OR-вентиля","OR 门套件"
"STR_LFPG_OR_Gate_Kit_Desc","A logic gate. Output active when ANY input receives power.","A logic gate. Output active when ANY input receives power.","Puerta lógica. Salida activa cuando CUALQUIER entrada recibe energía.","Ein Logik-Gatter. Ausgang aktiv wenn EIN Eingang Strom erhält.","Логический вентиль. Выход активен при питании ЛЮБОГО входа.","逻辑门。任意一路输入通电时输出激活。"
"STR_LFPG_XOR_Gate_Kit","XOR Gate Kit","XOR Gate Kit","Kit Puerta XOR","XOR-Gatter Kit","Комплект XOR-вентиля","XOR 门套件"
"STR_LFPG_XOR_Gate_Kit_Desc","A logic gate. Output active when EXACTLY ONE input receives power.","A logic gate. Output active when EXACTLY ONE input receives power.","Puerta lógica. Salida activa cuando EXACTAMENTE UNA entrada recibe energía.","Ein Logik-Gatter. Ausgang aktiv wenn GENAU EIN Eingang Strom erhält.","Логический вентиль. Выход активен при питании РОВНО ОДНОГО входа.","逻辑门。仅一路输入通电时输出激活。"
"STR_LFPG_AND_Gate","AND Gate","AND Gate","Puerta AND","AND-Gatter","AND-вентиль","AND 门"
"STR_LFPG_AND_Gate_Desc","Logic gate: output ON when both inputs powered. 20 u/s capacity.","Logic gate: output ON when both inputs powered. 20 u/s capacity.","Puerta lógica: salida activa con ambas entradas alimentadas. 20 u/s.","Logik-Gatter: Ausgang AN wenn beide Eingänge versorgt. 20 u/s.","Логический вентиль: выход ВКЛ при питании обоих входов. 20 ед/с.","逻辑门：两路输入均通电时输出开启。容量 20 u/s。"
"STR_LFPG_OR_Gate","OR Gate","OR Gate","Puerta OR","OR-Gatter","OR-вентиль","OR 门"
"STR_LFPG_OR_Gate_Desc","Logic gate: output ON when any input powered. 20 u/s capacity.","Logic gate: output ON when any input powered. 20 u/s capacity.","Puerta lógica: salida activa con cualquier entrada alimentada. 20 u/s.","Logik-Gatter: Ausgang AN wenn ein Eingang versorgt. 20 u/s.","Логический вентиль: выход ВКЛ при питании любого входа. 20 ед/с.","逻辑门：任意一路输入通电时输出开启。容量 20 u/s。"
"STR_LFPG_XOR_Gate","XOR Gate","XOR Gate","Puerta XOR","XOR-Gatter","XOR-вентиль","XOR 门"
"STR_LFPG_XOR_Gate_Desc","Logic gate: output ON when exactly one input powered. 20 u/s capacity.","Logic gate: output ON when exactly one input powered. 20 u/s capacity.","Puerta lógica: salida activa con exactamente una entrada alimentada. 20 u/s.","Logik-Gatter: Ausgang AN wenn genau ein Eingang versorgt. 20 u/s.","Логический вентиль: выход ВКЛ при питании ровно одного входа. 20 ед/с.","逻辑门：仅一路输入通电时输出开启。容量 20 u/s。"

"STR_LFPG_PressurePadKit","Pressure Pad Kit","Pressure Pad Kit","Kit Placa de Presión","Druckplatten-Kit","Набор нажимной плиты","压力板套件"
"STR_LFPG_PressurePadKit_Desc","A floor-mounted pressure pad. Place to deploy.","A floor-mounted pressure pad. Place to deploy.","Placa de presión para suelo. Coloca para desplegar.","Eine Bodendruckplatte. Platzieren zum Aufstellen.","Напольная нажимная плита. Разместите для установки.","地面式压力板。放置以部署。"
"STR_LFPG_PressurePad","Pressure Pad","Pressure Pad","Placa de Presión","Druckplatte","Нажимная плита","压力板"
"STR_LFPG_PressurePad_Desc","Passes power when a player stands on it. 20 u/s capacity.","Passes power when a player stands on it. 20 u/s capacity.","Transmite energía cuando un jugador pisa sobre ella. 20 u/s.","Leitet Strom wenn ein Spieler darauf steht. 20 E/s.","Передаёт энергию, когда игрок стоит на ней. 20 ед/с.","玩家站上时通电。容量 20 u/s。"
"STR_LFPG_LaserDetectorKit","Laser Detector Kit","Laser Detector Kit","Kit Detector Láser","Lasermelder-Kit","Комплект лазерного датчика","激光探测器套件"
"STR_LFPG_LaserDetectorKit_Desc","A wall-mounted laser tripwire. Place to deploy.","A wall-mounted laser tripwire. Place to deploy.","Cable trampa láser de pared. Coloca para desplegar.","Ein wandmontierter Laser-Stolperdraht. Platzieren zum Aufstellen.","Настенный лазерный датчик. Разместите для установки.","墙挂式激光绊线。放置以部署。"
"STR_LFPG_LaserDetector","Laser Detector","Laser Detector","Detector Láser","Lasermelder","Лазерный датчик","激光探测器"
"STR_LFPG_LaserDetector_Desc","Passes power when a player crosses the laser beam. 20 u/s capacity.","Passes power when a player crosses the laser beam. 20 u/s capacity.","Transmite energía cuando un jugador cruza el rayo láser. 20 u/s.","Leitet Strom wenn ein Spieler den Laserstrahl kreuzt. 20 E/s.","Передаёт энергию, когда игрок пересекает лазерный луч. 20 ед/с.","玩家穿过激光束时通电。容量 20 u/s。"

"STR_LFPG_ElectronicCounter_Kit","Electronic Counter Kit","Electronic Counter Kit","Kit Contador Electrónico","Elektronischer Zähler Kit","Комплект электронного счётчика","电子计数器套件"
"STR_LFPG_ElectronicCounter_Kit_Desc","A 7-segment electronic counter. Place to deploy.","A 7-segment electronic counter. Place to deploy.","Contador electrónico de 7 segmentos. Coloca para desplegar.","Ein 7-Segment Elektronikzähler. Platzieren zum Aufstellen.","7-сегментный электронный счётчик. Разместите для установки.","七段式电子计数器。放置以部署。"
"STR_LFPG_ElectronicCounter","Electronic Counter","Electronic Counter","Contador Electrónico","Elektronischer Zähler","Электронный счётчик","电子计数器"
"STR_LFPG_ElectronicCounter_Desc","Counts 0-9. Toggle input increments. Pulses output on 9→0 wrap. 20 u/s, 5 u/s self-consumption.","Counts 0-9. Toggle input increments. Pulses output on 9→0 wrap. 20 u/s, 5 u/s self-consumption.","Cuenta 0-9. Entrada toggle incrementa. Pulso de salida al pasar de 9→0. 20 u/s, 5 u/s autoconsumo.","Zählt 0-9. Toggle-Eingang erhöht. Ausgangsimpuls bei 9→0. 20 E/s, 5 E/s Eigenverbrauch.","Считает 0-9. Вход toggle увеличивает. Импульс на выходе при 9→0. 20 ед/с, 5 ед/с потребление.","计数 0-9。切换输入递增。9→0 时脉冲输出。20 u/s，自耗 5 u/s。"
"STR_LFPG_BatteryMediumKit","UPS Battery Kit","UPS Battery Kit","Kit Batería UPS","UPS-Batterie-Kit","Комплект батареи ИБП","UPS 电池套件"
"STR_LFPG_BatteryMediumKit_Desc","A medium UPS battery with charge indicator. Place to deploy.","A medium UPS battery with charge indicator. Place to deploy.","Una batería UPS mediana con indicador de carga. Colocar para desplegar.","Eine mittlere USV-Batterie mit Ladeanzeige. Platzieren zum Aufstellen.","Средняя батарея ИБП с индикатором заряда. Установите для развертывания.","带充电指示灯的中型 UPS 电池。放置以部署。"
"STR_LFPG_BatteryMedium","UPS Battery","UPS Battery","Batería UPS","USV-Batterie","Батарея ИБП","UPS 电池"
"STR_LFPG_BatteryMedium_Desc","10,000 u capacity. Charges from surplus, discharges when needed. 50 chg / 70 dis.","10,000 u capacity. Charges from surplus, discharges when needed. 50 chg / 70 dis.","Capacidad 10.000 u. Carga del excedente, descarga cuando se necesita. 50 carga / 70 descarga.","10.000 u Kapazität. Lädt aus Überschuss, entlädt bei Bedarf. 50 Ladung / 70 Entladung.","Ёмкость 10 000 ед. Заряжается от излишков, разряжается по необходимости. 50 заряд / 70 разряд.","容量 10,000 u。富余时充电，需要时放电。充 50 / 放 70。"
"STR_LFPG_ACTION_PLACE_BATTERY_MEDIUM","Place UPS Battery","Place UPS Battery","Colocar Batería UPS","USV-Batterie platzieren","Установить батарею ИБП","放置 UPS 电池"
"STR_LFPG_BatteryLargeKit","Transformer Battery Kit","Transformer Battery Kit","Kit Batería Transformador","Transformator-Batterie-Kit","Комплект батареи трансформатора","变压器电池套件"
"STR_LFPG_BatteryLargeKit_Desc","A large industrial battery bank. Place to deploy.","A large industrial battery bank. Place to deploy.","Un banco de baterías industrial grande. Colocar para desplegar.","Eine große industrielle Batteriebank. Platzieren zum Aufstellen.","Большой промышленный аккумуляторный блок. Установите для развертывания.","大型工业电池组。放置以部署。"
"STR_LFPG_BatteryLarge","Transformer Battery","Transformer Battery","Batería Transformador","Transformator-Batterie","Батарея трансформатора","变压器电池"
"STR_LFPG_BatteryLarge_Desc","50,000 u capacity. Charges from surplus, discharges when needed. 80 chg / 120 dis.","50,000 u capacity. Charges from surplus, discharges when needed. 80 chg / 120 dis.","Capacidad 50.000 u. Carga del excedente, descarga cuando se necesita. 80 carga / 120 descarga.","50.000 u Kapazität. Lädt aus Überschuss, entlädt bei Bedarf. 80 Ladung / 120 Entladung.","Ёмкость 50 000 ед. Заряжается от излишков, разряжается по необходимости. 80 заряд / 120 разряд.","容量 50,000 u。富余时充电，需要时放电。充 80 / 放 120。"
"STR_LFPG_ACTION_TOGGLE_BATTERY_OUTPUT","Toggle Battery Output","Toggle Battery Output","Activar/Desactivar Salida Batería","Batterieausgang umschalten","Переключить выход батареи","切换电池输出"
"STR_LFPG_DoorController_Kit","Door Controller Kit","Door Controller Kit","Kit de Controlador de Puerta","Türsteuerung-Kit","Комплект контроллера двери","门控制器套件"
"STR_LFPG_DoorController_Kit_Desc","An electronic controller that opens a nearby door when powered. Place near a door to deploy.","An electronic controller that opens a nearby door when powered. Place near a door to deploy.","Un controlador electrónico que abre la puerta cercana cuando recibe energía. Colocar cerca de una puerta.","Ein elektronischer Controller, der eine nahegelegene Tür öffnet wenn mit Strom versorgt. In der Nähe einer Tür platzieren.","Электронный контроллер, открывающий ближайшую дверь при наличии питания. Установите рядом с дверью.","电子控制器，通电时开启附近的门。放置在门附近部署。"
"STR_LFPG_DoorController","Door Controller","Door Controller","Controlador de Puerta","Türsteuerung","Контроллер двери","门控制器"
"STR_LFPG_DoorController_Desc","Controls the nearest door within 1m. Opens when powered, closes when unpowered. Works with all lock types.","Controls the nearest door within 1m. Opens when powered, closes when unpowered. Works with all lock types.","Controla la puerta más cercana en 1m. Abre con energía, cierra sin energía. Compatible con todos los candados.","Steuert die nächste Tür im Umkreis von 1m. Öffnet bei Strom, schließt ohne Strom. Funktioniert mit allen Schlosstypen.","Управляет ближайшей дверью в радиусе 1м. Открывает при питании, закрывает без питания. Совместим со всеми замками.","控制 1 米内最近的门。通电开门，断电关门。兼容所有锁类型。"
